"output_id","output_description","manuscript_location","source_script","source_input_files","source_saved_object","required_public_input","public_script","status","notes"
"historical_annual_counts","Eligible-year marked totals and first Moses/Butters recaptures","Main historical analysis; Table 2","Script/historical_RST_recapture_variability.R","Output/historical_RST_individual_analysis/04_Kedgwick_first_downstream_recapture.csv; Output/historical_RST_individual_analysis/05b_annual_Moses_Butters_unique_fish_split_both_RST_operated.csv; Output/historical_RST_individual_analysis/03_Kedgwick_downstream_fish_history.csv","Not applicable","data/historical_rst_summary.csv","R/01_historical_recaptures.R","REPRODUCED","16 eligible years; 13 informative years; retain 2002/2013/2018 zero-recapture rows. Table 2 target total 21674 covers informative years."
"historical_pooled_binomial","Pooled conditional Moses proportion and exact binomial CI","Main historical results","Script/historical_RST_recapture_variability.R","Output/historical_RST_variability_analysis/annual_Moses_Butters_first_encounter_split.csv","Not applicable","data/historical_rst_summary.csv","R/01_historical_recaptures.R","REPRODUCED","87/127=0.685039370078740; exact CI 0.596676624417181-0.764542092935354."
"historical_dispersion","Pearson-type annual dispersion statistic","Main historical results","Script/historical_RST_recapture_variability.R","Output/historical_RST_variability_analysis/annual_Moses_Butters_first_encounter_split.csv","Not applicable","data/historical_rst_summary.csv","R/01_historical_recaptures.R","REPRODUCED","Recomputed 29.1152881090602; zero-total years contribute no conditional information."
"historical_dispersion_bootstrap","10000-replicate parametric dispersion bootstrap","Main historical results","Script/historical_RST_recapture_variability.R","Output/historical_RST_variability_analysis/annual_Moses_Butters_first_encounter_split.csv","Not applicable","data/historical_rst_summary.csv","R/01_historical_recaptures.R","REPRODUCED","Seed 20260906; every archived replicate reproduced; 13 exceedances; plus-one p=14/10001."
"historical_beta_binomial","MLE mean annual conditional proportion; overdispersion; among-year SD","Main historical results","Script/historical_RST_recapture_variability.R","Output/historical_RST_variability_analysis/annual_Moses_Butters_first_encounter_split.csv","Not applicable","data/historical_rst_summary.csv","R/01_historical_recaptures.R","REPRODUCED","Three-start L-BFGS-B fit; mean 0.6881236408; rho 0.1391303475; SD 0.1727966832."
"historical_lrt_bootstrap","5000-replicate boundary-aware likelihood-ratio bootstrap","Main historical results","Script/historical_RST_recapture_variability.R","Output/historical_RST_variability_analysis/annual_Moses_Butters_first_encounter_split.csv","Output/historical_RST_variability_analysis/beta_binomial_LR_bootstrap.csv","data/historical_rst_summary.csv","R/01_historical_recaptures.R","REPRODUCED","Full 5000-refit sequential bootstrap rerun; 5 exceedances, plus-one p=6/5001."
"historical_empirical_bayes","Annual conditional posterior means and equal-tailed intervals","Main historical results; Figure 3","Script/historical_RST_recapture_variability.R","Output/historical_RST_variability_analysis/annual_Moses_Butters_first_encounter_split.csv","Not applicable","data/historical_rst_summary.csv","R/01_historical_recaptures.R","REPRODUCED","Beta posterior updates conditional on fitted hyperparameters; all exported means and interval endpoints match recomputation."
"historical_leave_one_out","Leave-one-year-out pooled proportions and 2000-replicate dispersion bootstraps","Main sensitivity results","Script/historical_RST_recapture_variability.R","Output/historical_RST_variability_analysis/annual_Moses_Butters_first_encounter_split.csv","Output/historical_RST_variability_analysis/leave_one_year_out_variability.csv","data/historical_rst_summary.csv","R/01_historical_recaptures.R","REPRODUCED","All 13 omissions rerun with 2000 replicates each; ascending-year RNG stream follows dispersion and LR bootstraps; all reporting targets reproduced."
"discharge_annual_metrics","Annual mean discharge and CV with marking-window extension","Main discharge analysis; Table 2","Script/historical_RST_discharge_screening.R","Output/historical_RST_discharge_screening/annual_discharge_recapture_summary.csv; Output/historical_RST_discharge_screening/annual_discharge_window_coverage.csv; Output/historical_RST_individual_analysis/01_Kedgwick_mark_events.csv","Not applicable","data/annual_discharge_metrics.csv","R/01_historical_recaptures.R","REPRODUCED","Station 01BJ007; curated annual metrics only. Recomputed pooled 90th-percentile calendar lag=7 days from 127 first recaptures."
"discharge_pearson","Pearson correlations and two-sided p-values","Main discharge results","Script/historical_RST_discharge_screening.R","Output/historical_RST_discharge_screening/annual_discharge_recapture_summary.csv","Not applicable","data/historical_rst_summary.csv; data/annual_discharge_metrics.csv","R/01_historical_recaptures.R","REPRODUCED","13 years; mean-discharge r=0.4050565715 p=0.1697472832; CV r=0.6440604509 p=0.0175115412."
