"file","field","type","units","meaning","missing","source"
"data/annual_discharge_metrics.csv","year","integer","dimensionless","Calendar year; CMR row index t corresponds to 2001+t (2002-2019)","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/annual_discharge_metrics.csv","station_id","character","dimensionless","Water Survey of Canada hydrometric station identifier 01BJ007","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/annual_discharge_metrics.csv","station_name","character","dimensionless","Restigouche River above Rafting Grounds","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/annual_discharge_metrics.csv","window_start","character","YYYY-MM-DD","First Kedgwick marking date for annual discharge summary","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/annual_discharge_metrics.csv","window_end","character","YYYY-MM-DD","Last Kedgwick marking date plus seven days; 2022 context is May 17-June 12","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/annual_discharge_metrics.csv","lag_days","integer","days","Seven-day pooled 90th-percentile marking-to-first-downstream-recapture extension, independently verified from 127 recaptures","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/annual_discharge_metrics.csv","mean_discharge_m3_s","numeric","m3/s","Unrounded arithmetic mean daily discharge over the complete annual window","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/annual_discharge_metrics.csv","discharge_cv","numeric","dimensionless","Sample SD of daily discharge divided by mean daily discharge","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/annual_discharge_metrics.csv","coverage_complete","logical","dimensionless","All daily discharge observations present in the window","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/annual_discharge_metrics.csv","historical_correlation_included","logical","dimensionless","TRUE only for the 13 informative historical years; FALSE for 2022 telemetry context","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/cmr_annual_counts.csv","year","integer","dimensionless","Calendar year; CMR row index t corresponds to 2001+t (2002-2019)","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/cmr_annual_counts.csv","C_B","integer","fish or observations as defined","Annual unmarked smolt captures at Butters as supplied to final CMR likelihood; not historical first-recapture subset","NA: not applicable or undefined; event times absent when detection_count=0; CMR observations absent when likelihood excluded; constant-state diagnostics undefined","Audited final analysis; source_output_crosswalk.csv"
"data/cmr_annual_counts.csv","C_K","integer","fish or observations as defined","Annual unmarked smolt captures at Kedgwick as supplied to final CMR likelihood; not historical first-recapture subset","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/cmr_annual_counts.csv","C_Ma","integer","fish or observations as defined","Annual unmarked smolt captures at Matapedia as supplied to final CMR likelihood; not historical first-recapture subset","NA: not applicable or undefined; event times absent when detection_count=0; CMR observations absent when likelihood excluded; constant-state diagnostics undefined","Audited final analysis; source_output_crosswalk.csv"
"data/cmr_annual_counts.csv","C_Mo","integer","fish or observations as defined","Annual unmarked smolt captures at Moses as supplied to final CMR likelihood; not historical first-recapture subset","NA: not applicable or undefined; event times absent when detection_count=0; CMR observations absent when likelihood excluded; constant-state diagnostics undefined","Audited final analysis; source_output_crosswalk.csv"
"data/cmr_annual_counts.csv","C_U","integer","fish or observations as defined","Annual unmarked smolt captures at Upsalquitch as supplied to final CMR likelihood; not historical first-recapture subset","NA: not applicable or undefined; event times absent when detection_count=0; CMR observations absent when likelihood excluded; constant-state diagnostics undefined","Audited final analysis; source_output_crosswalk.csv"
"data/cmr_annual_counts.csv","M_B","integer","fish or observations as defined","Annual marked fish released at Butters used in final CMR marked pool","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/cmr_annual_counts.csv","M_B_mort","integer","fish or observations as defined","Marked-fish mortality adjustment for Butters subtracted in executed downstream marked-pool calculation","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/cmr_annual_counts.csv","M_K","integer","fish or observations as defined","Annual marked fish released at Kedgwick used in final CMR marked pool","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/cmr_annual_counts.csv","M_K_mort","integer","fish or observations as defined","Marked-fish mortality adjustment for Kedgwick subtracted in executed downstream marked-pool calculation","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/cmr_annual_counts.csv","M_Ma","integer","fish or observations as defined","Annual marked fish released at Matapedia used in final CMR marked pool","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/cmr_annual_counts.csv","M_Ma_mort","integer","fish or observations as defined","Marked-fish mortality adjustment for Matapedia subtracted in executed downstream marked-pool calculation","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/cmr_annual_counts.csv","M_Mo","integer","fish or observations as defined","Annual marked fish released at Moses used in final CMR marked pool","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/cmr_annual_counts.csv","M_Mo_mort","integer","fish or observations as defined","Marked-fish mortality adjustment for Moses subtracted in executed downstream marked-pool calculation","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/cmr_annual_counts.csv","M_U","integer","fish or observations as defined","Annual marked fish released at Upsalquitch used in final CMR marked pool","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/cmr_annual_counts.csv","M_U_mort","integer","fish or observations as defined","Marked-fish mortality adjustment for Upsalquitch subtracted in executed downstream marked-pool calculation","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/cmr_annual_counts.csv","R_B","integer","fish or observations as defined","Annual marked smolt recaptures at Butters used in final CMR binomial likelihood","NA: not applicable or undefined; event times absent when detection_count=0; CMR observations absent when likelihood excluded; constant-state diagnostics undefined","Audited final analysis; source_output_crosswalk.csv"
"data/cmr_annual_counts.csv","R_K","integer","fish or observations as defined","Annual marked smolt recaptures at Kedgwick used in final CMR binomial likelihood","Not allowed","Audited final analysis; source_output_crosswalk.csv"
"data/cmr_annual_counts.csv","R_Ma","integer","fish or observations as defined","Annual marked smolt recaptures at Matapedia used in final CMR binomial likelihood","NA: not applicable or undefined; event times absent when detection_count=0; CMR observations absent when likelihood excluded; constant-state diagnostics undefined","Audited final analysis; source_output_crosswalk.csv"
"data/cmr_annual_counts.csv","R_Mo","integer","fish or observations as defined","Annual marked smolt recaptures at Moses used in final CMR binomial likelihood","NA: not applicable or undefined; event times absent when detection_count=0; CMR observations absent when likelihood excluded; constant-state diagnostics undefined","Audited final analysis; source_output_crosswalk.csv"
"data/cmr_annual_counts.csv","R_U","integer","fish or observations as defined","Annual marked smolt recaptures at Upsalquitch used in final CMR binomial likelihood","NA: not applicable or undefined; event times absent when detection_count=0; CMR observations absent when likelihood excluded; constant-state diagnostics undefined","Audited final analysis; source_output_crosswalk.csv"
"data/cmr_annual_counts.csv","index_no_mark_B","integer","dimensionless","Binary inclusion index for Butters downstream likelihood; zero skips years without marking support","Not allowed","Audited final analysis; source_output_crosswalk.csv"
